200      GET       26l       84w     1055c http://192.168.229.156/
301      GET        7l       20w      239c http://192.168.229.156/webmail => http://192.168.229.156/webmail/
301      GET        7l       20w      242c http://192.168.229.156/phpmyadmin => http://192.168.229.156/phpmyadmin/
301      GET        7l       20w      252c http://192.168.229.156/phpmyadmin/templates => http://192.168.229.156/phpmyadmin/templates/
301      GET        7l       20w      249c http://192.168.229.156/phpmyadmin/themes => http://192.168.229.156/phpmyadmin/themes/
301      GET        7l       20w      246c http://192.168.229.156/phpmyadmin/doc => http://192.168.229.156/phpmyadmin/doc/
301      GET        7l       20w      251c http://192.168.229.156/phpmyadmin/doc/html => http://192.168.229.156/phpmyadmin/doc/html/
301      GET        7l       20w      257c http://192.168.229.156/phpmyadmin/templates/list => http://192.168.229.156/phpmyadmin/templates/list/
301      GET        7l       20w      259c http://192.168.229.156/phpmyadmin/templates/server => http://192.168.229.156/phpmyadmin/templates/server/
301      GET        7l       20w      257c http://192.168.229.156/phpmyadmin/templates/test => http://192.168.229.156/phpmyadmin/templates/test/
301      GET        7l       20w      263c http://192.168.229.156/phpmyadmin/templates/navigation => http://192.168.229.156/phpmyadmin/templates/navigation/
301      GET        7l       20w      245c http://192.168.229.156/phpmyadmin/js => http://192.168.229.156/phpmyadmin/js/
301      GET        7l       20w      261c http://192.168.229.156/phpmyadmin/templates/database => http://192.168.229.156/phpmyadmin/templates/database/
301      GET        7l       20w      263c http://192.168.229.156/phpmyadmin/templates/components => http://192.168.229.156/phpmyadmin/templates/components/
301      GET        7l       20w      263c http://192.168.229.156/phpmyadmin/templates/javascript => http://192.168.229.156/phpmyadmin/templates/javascript/
401      GET       12l       46w      381c http://192.168.229.156/phpmyadmin/setup
301      GET        7l       20w      258c http://192.168.229.156/phpmyadmin/templates/error => http://192.168.229.156/phpmyadmin/templates/error/
301      GET        7l       20w      246c http://192.168.229.156/phpmyadmin/sql => http://192.168.229.156/phpmyadmin/sql/
301      GET        7l       20w      258c http://192.168.229.156/phpmyadmin/themes/original => http://192.168.229.156/phpmyadmin/themes/original/
301      GET        7l       20w      258c http://192.168.229.156/phpmyadmin/templates/table => http://192.168.229.156/phpmyadmin/templates/table/
301      GET        7l       20w      249c http://192.168.229.156/phpmyadmin/locale => http://192.168.229.156/phpmyadmin/locale/
301      GET        7l       20w      252c http://192.168.229.156/phpmyadmin/locale/de => http://192.168.229.156/phpmyadmin/locale/de/
301      GET        7l       20w      252c http://192.168.229.156/phpmyadmin/locale/fr => http://192.168.229.156/phpmyadmin/locale/fr/
301      GET        7l       20w      252c http://192.168.229.156/phpmyadmin/locale/nl => http://192.168.229.156/phpmyadmin/locale/nl/
